Q50017,R277156
Q50019,R294758
Q50025,R922600
Q50034,R360860
Q50036,R105649
Q50037,R664133
Q50044,R312083
Q50045,R472551
Q50048,R557847
Q50050,R664909
Q50052,R509422
Q50055,R297421
Q50060,R003513
Q50067,R388847
Q50071,R152650
Q50073,R736145
Q50084,R389224
Q50085,R451775
Q50088,R245563
Q50095,R029638
Q50109,R807962
Q50121,R302933
Q50122,R326993
Q50131,R532674
Q50137,R346647
Q50138,R264735
Q50149,R387774
Q50150,R133167
Q50154,R602510
Q50160,R453275
Q50164,R259007
Q50173,R254086
Q50176,R284663
Q50179,R587367
Q50186,R038042
Q50187,R663560
Q50193,R140829
Q50199,R882617
Q50200,R330730
Q50204,R983449
Q50209,R462428
Q50211,R669569
Q50213,R270952
Q50218,R722552
Q50229,R040485
Q50236,R564942
Q50238,R240676
Q50253,R811203
Q50255,R282057
Q50262,R435917
Q50268,R997315
Q50272,R757280
Q50276,R626640
Q50278,R113081
Q50280,R992967
Q50287,R236028
Q50292,R986782
Q50293,R591705
Q50295,R254796
Q50303,R604557
Q50304,R844983
Q50305,R670091
Q50310,R599091
Q50317,R745226
Q50319,R653114
Q50321,R339892
Q50323,R548587
Q50326,R462058
Q50327,R646761
Q50328,R653911
Q50332,R812340
Q50343,R079876
Q50348,R812220
Q50364,R809198
Q50371,R459531
Q50372,R894729
Q50373,R518275
Q50386,R037975
Q50387,R336986
Q50391,R757879
Q50402,R608267
Q50405,R871150
Q50406,R122561
Q50409,R333727
Q50414,R675573
Q50415,R585218
Q50416,R455288
Q50424,R429979
Q50429,R319482
Q50430,R781532
Q50434,R988505
Q50438,R346583
Q50442,R656974
Q50449,R511677
Q50454,R349525
Q50459,R058751
Q50461,R534741
Q50466,R849368
Q50469,R036121
Q50473,R548868
Q50480,R315726
Q50490,R656236
Q50493,R696196
Q50499,R614991
Q50500,R592267
Q50507,R544132
Q50518,R215496
Q50521,R418149
Q50523,R827643
Q50531,R572405
Q50534,R298269
Q50535,R301493
Q50551,R862389
Q50554,R863400
Q50560,R755377
Q50563,R848207
Q50578,R137255
Q50579,R389723
Q50583,R606744
Q50585,R124306
Q50586,R748310
Q50587,R501152
Q50590,R182888
Q50592,R317458
Q50593,R076432
Q50595,R513420
Q50600,R535499
Q50603,R292619
Q50604,R588421
Q50605,R338045
Q50613,R654761
Q50618,R225580
Q50625,R346672
Q50629,R560802
Q50635,R341982
Q50641,R266011
Q50642,R677724
Q50644,R436100
Q50647,R983211
Q50656,R238822
Q50659,R420839
Q50665,R971165
Q50667,R818075
Q50669,R318260
Q50670,R576684
Q50674,R263750
Q50678,R359488
Q50682,R934683
Q50692,R655420
Q50693,R197871
Q50699,R038543
Q50702,R573728
Q50706,R286338
Q50721,R980164
Q50733,R107406
Q50734,R575810
Q50746,R491387
Q50749,R151826
Q50750,R743456
Q50756,R209774
Q50777,R511397
Q50784,R390843
Q50789,R847812
Q50794,R314092
Q50797,R045509
Q50799,R718029
Q50817,R740487
Q50828,R210218
Q50836,R431754
Q50845,R018328
Q50853,R383684
Q50859,R054725
Q50860,R838873
Q50864,R773601
Q50870,R642930
Q50880,R891919
Q50884,R042163
Q50886,R335502
Q50889,R373975
Q50892,R316923
Q50903,R318645
Q50923,R610057
Q50932,R971432
Q50934,R672758
Q50935,R667963
Q50937,R923078
Q50957,R900689
Q50959,R599875
Q50966,R593741
Q50967,R912199
Q50968,R927166
Q50976,R132293
Q50984,R947912
Q50985,R697315
Q50987,R912647
Q51002,R659708
Q51003,R436568
Q51012,R434556
Q51031,R460807
Q51035,R340048
Q51036,R281869
Q51038,R698477
Q51042,R324606
Q51046,R375451
Q51048,R952593
Q51054,R670151
Q51062,R096518
Q51079,R312171
Q51082,R358592
Q51089,R665967
Q51098,R778731
Q51099,R371082
Q51102,R049903
Q51111,R403695
Q51118,R265751
Q51121,R024445
Q51122,R963530
Q51123,R492543
Q51126,R927082
Q51132,R271075
Q51140,R945346
Q51143,R438511
Q51147,R275267
Q51149,R334277
Q51154,R587120
Q51164,R548517
Q51165,R812497
Q51169,R679841
Q51171,R137972
Q51175,R023609
Q51181,R790155
Q51190,R850095
Q51192,R438973
Q51206,R320252
Q51210,R229697
Q51213,R934129
Q51219,R878816
Q51220,R648819
Q51229,R878457
Q51231,R339925
Q51238,R968265
Q51244,R852557
Q51249,R937234
Q51250,R915090
Q51257,R754850
Q51259,R151220
Q51260,R787532
Q51261,R295380
Q51266,R920185
Q51281,R136356
Q51282,R181054
Q51283,R289349
Q51292,R090307
Q51299,R159333
Q51305,R233819
Q51308,R449116
Q51310,R711363
Q51316,R070496
Q51320,R457719
Q51321,R954281
Q51323,R635294
Q51326,R483280
Q51331,R201373
Q51332,R835422
Q51338,R149700
Q51350,R347088
Q51356,R656565
Q51359,R769987
Q51360,R717059
Q51369,R111460
Q51370,R451089
Q51373,R479436
Q51379,R996759
Q51384,R139086
Q51393,R847952
Q51395,R341319
Q51409,R477977
Q51410,R498648
Q51416,R558151
Q51421,R058682
Q51425,R816958
Q51427,R021292
Q51430,R803842
Q51433,R542808
Q51437,R389883
Q51445,R767344
Q51446,R124762
Q51452,R224484
Q51454,R741685
Q51466,R693318
Q51473,R181053
Q51478,R813894
Q51481,R008569
Q51485,R806715
Q51496,R482377
Q51506,R349836
Q51507,R279350
Q51508,R592464
Q51511,R558045
Q51514,R112851
Q51523,R534742
Q51533,R188390
Q51536,R081401
Q51540,R135043
Q51541,R747324
Q51550,R127053
Q51554,R848404
Q51556,R691545
Q51560,R427901
Q51564,R920883
Q51567,R597585
Q51569,R566164
Q51571,R542239
Q51579,R036095
Q51581,R134954
Q51592,R614855
Q51593,R256955
Q51599,R590003
Q51605,R989939
Q51610,R187260
Q51612,R976460
Q51613,R034896
Q51618,R054939
Q51623,R967238
Q51628,R127898
Q51631,R725283
Q51632,R539137
Q51636,R505397
Q51656,R139533
Q51657,R765783
Q51686,R436353
Q51700,R501491
Q51706,R579720
Q51709,R229495
Q51720,R400186
Q51725,R012389
Q51728,R909977
Q51729,R246159
Q51740,R990481
Q51747,R665284
Q51755,R545478
Q51759,R618464
Q51760,R048825
Q51761,R351727
Q51768,R113407
Q51771,R549470
Q51773,R889958
Q51778,R168866
Q51785,R703147
Q51793,R005216
Q51798,R957293
Q51799,R900809
Q51802,R481400
Q51804,R764732
Q51807,R933941
Q51827,R398307
Q51831,R022675
Q51833,R070226
Q51834,R270944
Q51846,R173058
Q51847,R827757
Q51852,R121586
Q51853,R142500
Q51856,R217718
Q51858,R516172
Q51859,R491172
Q51862,R123566
Q51863,R318375
Q51868,R284193
Q51869,R857976
Q51871,R284899
Q51874,R899535
Q51883,R389237
Q51885,R628492
Q51893,R561813
Q51895,R817804
Q51898,R922666
Q51910,R594620
Q51924,R681799
Q51931,R383026
Q51944,R437269
Q51946,R380039
Q51947,R252181
Q51948,R068827
Q51953,R919523
Q51957,R690363
Q51966,R234915
Q51989,R217648
Q51995,R459184
Q51997,R081893
Q52021,R828628
Q52032,R709500
Q52035,R421097
Q52043,R003682
Q52046,R975906
Q52057,R515229
Q52060,R419975
Q52064,R496934
Q52069,R330107
Q52073,R444279
Q52075,R771427
Q52082,R489076
Q52090,R057909
Q52091,R495382
Q52095,R510330
Q52097,R493562
Q52104,R575274
Q52106,R448447
Q52107,R107984
Q52111,R624933
Q52117,R238759
Q52125,R066846
Q52128,R802002
Q52137,R788232
Q52139,R575150
Q52143,R386338
Q52152,R353962
Q52153,R254391
Q52161,R966743
Q52169,R423989
Q52171,R324840
Q52172,R348903
Q52173,R070188
Q52176,R130570
Q52177,R614497
Q52191,R177361
Q52192,R754424
Q52195,R776910
