query,reference
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_01/-ewFLPMJYkI-Scene-002-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-ewFLPMJYkI-Scene-002-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_01/-ewFLPMJYkI-Scene-003-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-ewFLPMJYkI-Scene-003-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_01/-ewFLPMJYkI-Scene-004-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-ewFLPMJYkI-Scene-004-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_01/-ewFLPMJYkI-Scene-005-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-ewFLPMJYkI-Scene-005-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_01/-eyig_V-_5o-Scene-001-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-eyig_V-_5o-Scene-001-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_01/-eyig_V-_5o-Scene-002-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-eyig_V-_5o-Scene-002-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_01/-eyig_V-_5o-Scene-003-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-eyig_V-_5o-Scene-003-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_01/-eyig_V-_5o-Scene-004-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-eyig_V-_5o-Scene-004-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_01/-eyig_V-_5o-Scene-005-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-eyig_V-_5o-Scene-005-01.jpg
/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/BlackBorder_01/-f3IhzH2JGg-Scene-001-01.jpg,/mldisk/nfs_shared_/VCDB_simulated/simulated_frame_db/origin/-f3IhzH2JGg-Scene-001-01.jpg
