anchor,positive,negative
dev_queries/Q31349.jpg,references/R782866.jpg,train/T009847.jpg
dev_queries/Q31234.jpg,references/R915562.jpg,train/T053970.jpg
references/R554439.jpg,dev_queries/Q48761.jpg,train/T032207.jpg
dev_queries/Q39558.jpg,references/R843831.jpg,train/T047713.jpg
references/R178808.jpg,dev_queries/Q46234.jpg,train/T068623.jpg
dev_queries/Q26041.jpg,references/R766667.jpg,train/T061905.jpg
references/R605727.jpg,dev_queries/Q41943.jpg,train/T071713.jpg
references/R843831.jpg,dev_queries/Q39558.jpg,train/T100933.jpg
references/R842636.jpg,dev_queries/Q39401.jpg,train/T015842.jpg
references/R032038.jpg,dev_queries/Q49112.jpg,train/T055882.jpg
references/R299806.jpg,dev_queries/Q33203.jpg,train/T008555.jpg
references/R826837.jpg,dev_queries/Q32976.jpg,train/T102957.jpg
references/R241682.jpg,dev_queries/Q49907.jpg,train/T072292.jpg
references/R212092.jpg,dev_queries/Q39654.jpg,train/T021801.jpg
dev_queries/Q08402.jpg,references/R227841.jpg,train/T049107.jpg
references/R415144.jpg,dev_queries/Q29736.jpg,train/T055814.jpg
dev_queries/Q28721.jpg,references/R483441.jpg,train/T022707.jpg
dev_queries/Q47022.jpg,references/R088909.jpg,train/T014984.jpg
dev_queries/Q32212.jpg,references/R554062.jpg,train/T079638.jpg
references/R061215.jpg,dev_queries/Q31375.jpg,train/T083489.jpg
references/R028292.jpg,dev_queries/Q47025.jpg,train/T098495.jpg
references/R433648.jpg,dev_queries/Q45757.jpg,train/T030314.jpg
references/R023401.jpg,dev_queries/Q23488.jpg,train/T042875.jpg
dev_queries/Q34724.jpg,references/R542764.jpg,train/T084670.jpg
dev_queries/Q28936.jpg,references/R861891.jpg,train/T020211.jpg
references/R767496.jpg,dev_queries/Q00433.jpg,train/T033148.jpg
dev_queries/Q28436.jpg,references/R128786.jpg,train/T044134.jpg
references/R507990.jpg,dev_queries/Q43877.jpg,train/T076945.jpg
dev_queries/Q49947.jpg,references/R025570.jpg,train/T079722.jpg
dev_queries/Q40742.jpg,references/R135976.jpg,train/T061543.jpg
dev_queries/Q30020.jpg,references/R583189.jpg,train/T097094.jpg
references/R790744.jpg,dev_queries/Q11944.jpg,train/T052260.jpg
references/R371025.jpg,dev_queries/Q27631.jpg,train/T025052.jpg
references/R232278.jpg,dev_queries/Q41634.jpg,train/T104716.jpg
dev_queries/Q46500.jpg,references/R900559.jpg,train/T058762.jpg
dev_queries/Q45706.jpg,references/R935137.jpg,train/T067363.jpg
dev_queries/Q47495.jpg,references/R513311.jpg,train/T060881.jpg
references/R322460.jpg,dev_queries/Q25655.jpg,train/T028712.jpg
references/R700928.jpg,dev_queries/Q48931.jpg,train/T068553.jpg
references/R958659.jpg,dev_queries/Q36389.jpg,train/T077631.jpg
dev_queries/Q31334.jpg,references/R266641.jpg,train/T084754.jpg
references/R145801.jpg,dev_queries/Q32773.jpg,train/T083039.jpg
references/R531099.jpg,dev_queries/Q41726.jpg,train/T070866.jpg
references/R655343.jpg,dev_queries/Q38408.jpg,train/T046849.jpg
dev_queries/Q17150.jpg,references/R611494.jpg,train/T066564.jpg
references/R200117.jpg,dev_queries/Q47739.jpg,train/T007896.jpg
references/R724675.jpg,dev_queries/Q15161.jpg,train/T070783.jpg
dev_queries/Q48171.jpg,references/R349199.jpg,train/T107288.jpg
references/R644367.jpg,dev_queries/Q33168.jpg,train/T002854.jpg
references/R415655.jpg,dev_queries/Q43265.jpg,train/T043549.jpg
dev_queries/Q34757.jpg,references/R697069.jpg,train/T047981.jpg
references/R299806.jpg,dev_queries/Q33203.jpg,train/T046648.jpg
references/R545668.jpg,dev_queries/Q39161.jpg,train/T020633.jpg
references/R656622.jpg,dev_queries/Q34090.jpg,train/T064353.jpg
dev_queries/Q37478.jpg,references/R456065.jpg,train/T044576.jpg
dev_queries/Q07850.jpg,references/R198570.jpg,train/T027190.jpg
dev_queries/Q49112.jpg,references/R032038.jpg,train/T030885.jpg
references/R902637.jpg,dev_queries/Q17190.jpg,train/T016828.jpg
references/R299806.jpg,dev_queries/Q33203.jpg,train/T050263.jpg
dev_queries/Q29675.jpg,references/R696773.jpg,train/T081762.jpg
references/R176097.jpg,dev_queries/Q41072.jpg,train/T060277.jpg
dev_queries/Q40630.jpg,references/R514936.jpg,train/T079448.jpg
dev_queries/Q36267.jpg,references/R744559.jpg,train/T017752.jpg
dev_queries/Q41063.jpg,references/R108344.jpg,train/T045450.jpg
references/R297040.jpg,dev_queries/Q23539.jpg,train/T042522.jpg
dev_queries/Q35066.jpg,references/R877518.jpg,train/T099486.jpg
dev_queries/Q36206.jpg,references/R969712.jpg,train/T039229.jpg
dev_queries/Q37249.jpg,references/R399665.jpg,train/T035461.jpg
dev_queries/Q48782.jpg,references/R787972.jpg,train/T105790.jpg
references/R167272.jpg,dev_queries/Q40381.jpg,train/T098695.jpg
dev_queries/Q40018.jpg,references/R352929.jpg,train/T008013.jpg
dev_queries/Q42756.jpg,references/R197294.jpg,train/T069487.jpg
dev_queries/Q44384.jpg,references/R916367.jpg,train/T082256.jpg
references/R592687.jpg,dev_queries/Q32614.jpg,train/T092410.jpg
references/R694322.jpg,dev_queries/Q35592.jpg,train/T016678.jpg
references/R145801.jpg,dev_queries/Q32773.jpg,train/T103729.jpg
references/R580480.jpg,dev_queries/Q21238.jpg,train/T059736.jpg
dev_queries/Q29736.jpg,references/R415144.jpg,train/T051756.jpg
references/R517444.jpg,dev_queries/Q31182.jpg,train/T080534.jpg
references/R145801.jpg,dev_queries/Q32773.jpg,train/T101892.jpg
references/R816989.jpg,dev_queries/Q38770.jpg,train/T083852.jpg
references/R118022.jpg,dev_queries/Q29189.jpg,train/T041833.jpg
references/R610242.jpg,dev_queries/Q34243.jpg,train/T052818.jpg
references/R433512.jpg,dev_queries/Q31689.jpg,train/T092898.jpg
dev_queries/Q45215.jpg,references/R361679.jpg,train/T101246.jpg
references/R196979.jpg,dev_queries/Q39420.jpg,train/T013948.jpg
references/R281629.jpg,dev_queries/Q45276.jpg,train/T063568.jpg
dev_queries/Q37097.jpg,references/R923991.jpg,train/T092845.jpg
dev_queries/Q33607.jpg,references/R143580.jpg,train/T023603.jpg
references/R443053.jpg,dev_queries/Q31762.jpg,train/T069198.jpg
references/R737573.jpg,dev_queries/Q44491.jpg,train/T011145.jpg
references/R056499.jpg,dev_queries/Q42785.jpg,train/T091974.jpg
references/R096946.jpg,dev_queries/Q31485.jpg,train/T012551.jpg
dev_queries/Q25224.jpg,references/R016654.jpg,train/T052634.jpg
references/R019758.jpg,dev_queries/Q49007.jpg,train/T010106.jpg
dev_queries/Q26674.jpg,references/R526229.jpg,train/T038738.jpg
references/R073627.jpg,dev_queries/Q43992.jpg,train/T011861.jpg
references/R638511.jpg,dev_queries/Q31110.jpg,train/T048039.jpg
dev_queries/Q25539.jpg,references/R310260.jpg,train/T049773.jpg
references/R338143.jpg,dev_queries/Q44823.jpg,train/T094365.jpg
references/R293971.jpg,dev_queries/Q18025.jpg,train/T048337.jpg
dev_queries/Q36310.jpg,references/R306838.jpg,train/T016095.jpg
references/R942378.jpg,dev_queries/Q43066.jpg,train/T068587.jpg
references/R749130.jpg,dev_queries/Q47234.jpg,train/T012913.jpg
dev_queries/Q42288.jpg,references/R787386.jpg,train/T039653.jpg
dev_queries/Q49337.jpg,references/R763579.jpg,train/T083097.jpg
dev_queries/Q40630.jpg,references/R514936.jpg,train/T057233.jpg
references/R107095.jpg,dev_queries/Q35986.jpg,train/T059662.jpg
references/R576594.jpg,dev_queries/Q30791.jpg,train/T065772.jpg
references/R418434.jpg,dev_queries/Q21677.jpg,train/T099099.jpg
references/R787972.jpg,dev_queries/Q48782.jpg,train/T044729.jpg
references/R985807.jpg,dev_queries/Q28511.jpg,train/T009673.jpg
dev_queries/Q32907.jpg,references/R081562.jpg,train/T097920.jpg
references/R312697.jpg,dev_queries/Q26986.jpg,train/T029768.jpg
dev_queries/Q44071.jpg,references/R801176.jpg,train/T077673.jpg
dev_queries/Q37097.jpg,references/R923991.jpg,train/T093488.jpg
dev_queries/Q48132.jpg,references/R318473.jpg,train/T004677.jpg
references/R828969.jpg,dev_queries/Q44062.jpg,train/T029580.jpg
dev_queries/Q44635.jpg,references/R453189.jpg,train/T029824.jpg
references/R204820.jpg,dev_queries/Q31770.jpg,train/T066966.jpg
references/R804903.jpg,dev_queries/Q27229.jpg,train/T052847.jpg
references/R357504.jpg,dev_queries/Q47803.jpg,train/T018822.jpg
dev_queries/Q35712.jpg,references/R027867.jpg,train/T008203.jpg
dev_queries/Q39815.jpg,references/R100729.jpg,train/T090004.jpg
dev_queries/Q48787.jpg,references/R936154.jpg,train/T095173.jpg
references/R322460.jpg,dev_queries/Q25655.jpg,train/T042927.jpg
dev_queries/Q33440.jpg,references/R951274.jpg,train/T072340.jpg
references/R620041.jpg,dev_queries/Q39155.jpg,train/T090471.jpg
references/R504442.jpg,dev_queries/Q47117.jpg,train/T010825.jpg
dev_queries/Q19032.jpg,references/R902029.jpg,train/T055011.jpg
references/R555573.jpg,dev_queries/Q47132.jpg,train/T078021.jpg
references/R653902.jpg,dev_queries/Q18667.jpg,train/T046702.jpg
dev_queries/Q43014.jpg,references/R026608.jpg,train/T027224.jpg
references/R212966.jpg,dev_queries/Q38762.jpg,train/T090584.jpg
references/R514377.jpg,dev_queries/Q25516.jpg,train/T096925.jpg
dev_queries/Q37507.jpg,references/R897151.jpg,train/T055616.jpg
dev_queries/Q40055.jpg,references/R035917.jpg,train/T066501.jpg
references/R892740.jpg,dev_queries/Q49327.jpg,train/T063462.jpg
dev_queries/Q41634.jpg,references/R232278.jpg,train/T077086.jpg
dev_queries/Q08222.jpg,references/R947563.jpg,train/T017925.jpg
references/R022690.jpg,dev_queries/Q37489.jpg,train/T031690.jpg
dev_queries/Q26558.jpg,references/R406365.jpg,train/T023306.jpg
dev_queries/Q17150.jpg,references/R611494.jpg,train/T082156.jpg
dev_queries/Q13569.jpg,references/R732194.jpg,train/T060874.jpg
references/R851157.jpg,dev_queries/Q39445.jpg,train/T066863.jpg
dev_queries/Q46713.jpg,references/R279401.jpg,train/T038471.jpg
dev_queries/Q26233.jpg,references/R918694.jpg,train/T043632.jpg
dev_queries/Q37097.jpg,references/R923991.jpg,train/T002804.jpg
dev_queries/Q46433.jpg,references/R457573.jpg,train/T013073.jpg
references/R074799.jpg,dev_queries/Q46894.jpg,train/T050021.jpg
references/R684679.jpg,dev_queries/Q16249.jpg,train/T037160.jpg
references/R712844.jpg,dev_queries/Q10091.jpg,train/T005025.jpg
references/R137656.jpg,dev_queries/Q11913.jpg,train/T039865.jpg
dev_queries/Q41493.jpg,references/R035679.jpg,train/T028505.jpg
dev_queries/Q41816.jpg,references/R391531.jpg,train/T082426.jpg
dev_queries/Q27443.jpg,references/R163350.jpg,train/T046897.jpg
dev_queries/Q18667.jpg,references/R653902.jpg,train/T055107.jpg
references/R242384.jpg,dev_queries/Q02364.jpg,train/T047406.jpg
dev_queries/Q32316.jpg,references/R338310.jpg,train/T061058.jpg
references/R969911.jpg,dev_queries/Q27530.jpg,train/T074629.jpg
references/R911875.jpg,dev_queries/Q15021.jpg,train/T068960.jpg
references/R270846.jpg,dev_queries/Q49821.jpg,train/T044554.jpg
dev_queries/Q33749.jpg,references/R603271.jpg,train/T073979.jpg
references/R771534.jpg,dev_queries/Q42863.jpg,train/T076438.jpg
references/R004635.jpg,dev_queries/Q35225.jpg,train/T021064.jpg
dev_queries/Q42454.jpg,references/R848402.jpg,train/T066416.jpg
dev_queries/Q05094.jpg,references/R519720.jpg,train/T049012.jpg
references/R270846.jpg,dev_queries/Q49821.jpg,train/T076568.jpg
